about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
CA Final Audit Version 7.0 Full Course By CA Aarti Lahoti,,CA Aarti Lahoti,,CA Final Audit Full Course In English By CA Aarti Lahoti,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/playlist?list=PL7x7lxx63odhphgrkEQxRut1Kpt0EWFll,,,Through Email,140 Hours Approx.,,//zeroinfy.in/cdn/shop/files/CAFinalNewSchemeAuditFullCourseInEnglishByCAAartiLahoti_6a311c04-c843-430b-8d1e-4934ad343fb9_1024x1024.jpg?v=1735652834,"Video Lectures + Study Materials,Study Kit Contains -,Coloured Notes of 3 Modules",,"May 25,Nov 25 and Onward",,,"Rs. 9,975.00",4.53,April 2024,"Laptop,: Operating System: Windows 8.1 and above | Processor-2.67 GHz (dual core) or 3.5 Ghz (Single Core Processor) | RAM: 2 GB & Above | Software (.Net Framework)-Microsoft .NET Framework net 4.6.2 | Graphics:-NVidia/ATi/ Intel Extreme Graphics with minimum | 256MB Video RAM and Core Clock 600 MHz (Windows 8 will not work),Mobile / Tab,: Android Operating system Version 5.0 minimum or ice cream sandwich or above | Processor minimum 1.0 GHZ and RAM 2GB minimum",77,,English,"Chat on Tawk: https://tawk.to/chat/59a53fa74fe3a1168eada394/default,Email: support@recordshield.net,Phone: 8983789829, 9404994040,Timings: 9.00 am to 6.00 pm","1.2 / 1.5 times,on duration with unlimited clicks,Extension Of Views Not Available,Upto 2x FF Available",https://zeroinfy.in/collections/all/products/ca-final-auditing-new-syllabus-full-course-video-lectures-aarti-lahoti,"12 months,from the date of activation,Validity Extension Available On A Chargeable Basis",English
After attaining the respect of being called a CA chose to spread and share his knowledge to the coming young students who aspire to be CA's too,If Any Will be Uploaded on Youtube,CA Bhanwar Borana,,CA / CMA Final Direct Tax (DT) Exam Oriented Fast Track Batch In English By CA Bhanwar Borana,"Mobile App with Hard Copy,Google Drive with Hard Copy",https://www.youtube.com/watch?v=hTig_rN-p1Q,"https://youtube.com/shorts/lJ_2i8JLnNg?si=bJ_Jakd_Y9bcQx3S,https://www.youtube.com/watch?v=NAZ-gWegMmA","Rs. 11,249.00",WhatsApp,"184 Hours,Approx (77 lectures)",,//zeroinfy.in/cdn/shop/products/CACMAFinalNewSchemeDirectTaxExamOrientedFastTrackBatchInEnglishByCABhanwarBorana_1024x1024.jpg?v=1735813157,"Video Lectures + Study Materials,Study Kit Contains -,Compact 3.0 / Q & A Compiler,See Sample DT Compact Book Here,See Sample DT Compiler Book Here",,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 8,749.00",4.89,October 2024,"Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",27,Laptop / Mobile,English,"Mobile -,8585913362,Email at support@zeroinfy.in","1.5 times,on duration every lecture with unlimited clicks (3 hrs lecture can be watched for 4.5 Hrs),Views extension Not Possible,Upto 2x FF",https://zeroinfy.in/collections/all/products/ca-cma-final-dt-fast-track-in-english-by-bhanwar-borana,"9 months,from the date of activation,Validity extension On Chargeable Basis",English
"has teaching experience of more than 10 years and taught more than 30,000 students. He is known as ""IDT Guru"" due to his tremendous popularity amongst CA, CS, and CMA Students. Vishal Battad is one of the prominent faculty for IDT and is the founder of VSmart Academy. He is very famous for his interactive teaching style and class notes with pictorial presentation. He was the choice of 45000+ students in 2016.","If Any Will be Uploaded on Youtube,For Pen Drive Mode Internet Required Only at the Time of Activation / For Google Drive Mode Internet Required For Downloading Lecture / For Live Mode Internet All Time Required While Watching Lecture",Vsmart Academy,"Laptop:,Windows,8, 8.1 & 10 |,Intel Core 3, 2.0 GHz |,4GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Andriod version 6 & above (Motorola Mobile/Tablet or Rooted,Not,Supported)",CA Final Indirect Tax (IDT) Regular Exam Oriented Batch By CA Vishal Bhattad,"Google Drive with Hard Copy,Pen Drive with Hard Copy",,,"Rs. 9,999.00",QnA App (Provided with Course Purchase),"125 Hours,+,25 Hrs extra practice,including GST portion of Paper 6",,//zeroinfy.in/cdn/shop/files/CAFinalNewSchemeIndirectTaxRegularExamOrientedBatchByCAVishalBhattad_8fc1977c-d0ca-4396-9426-bddb231a3e58_1024x1024.jpg?v=1738223937,"Video Lectures + Study Materials,Study Kit Contains -,Multi-color Printed Books,(GST & Custom Regular Modules and GST & Custom Questionnaire)",,"Flat RS.1000 New Year Discount Applied Here,Combo Subject with DT: RS.1000 Flat + RS.750 Combo Discount Applied Here (Automatically Added - On purchase of 2 or more courses in a single cart)",,,"Rs. 8,999.00",4.67,Dec 2024,,45,Laptop / Mobile / Tablet,English,Email at support@zeroinfy.in,1.5 times,https://zeroinfy.in/collections/all/products/ca-final-indirect-tax-idt-exam-oriented-ca-vishal-bhattad,"Unlimited Validity,with Free Extension (up to 2 years),Extension On Chargeable Basis",Hindi-English Mix
"CA Shubham Keswani is a Merit holder at CA Final & Inter level. He completed his 3 years of Articleship training in the field of Audit & Assurance from EY. Having secured exemption in Auditing at both levels of his CA Journey, his purpose is to enlighten you with his experience & expertise.",Will Be Uploaded On Youtube If Any,CA Shubham Keswani,,CA Final Audit Fast Track By CA Shubham Keswani,"Mobile App without Hard Copy,Google Drive without Hard Copy,Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/playlist?list=PL7x7lxx63odjTIFN1e_bkmJ1wyZk7nyOK,"https://www.youtube.com/watch?v=1vELXuPLL_k,https://www.youtube.com/watch?v=_e5lT8C4gVc,https://www.youtube.com/watch?v=_e5lT8C4gVc","Rs. 6,999.00",Send your query on 9315210818 (Telegram),"120 hours,(61 lectures)",,//zeroinfy.in/cdn/shop/files/CAFinalNewSchemeAuditFastTrackByCAShubhamKeswani_09d7b9c8-e735-4867-893a-5941cd89f89c_1024x1024.jpg?v=1735813080,"Video Lectures + Study Materials,Study Kit Contains -,1 Coloured Notes & 1 Question Bank Including MCQ's,See Sample Audit Note Book Here,See Sample Audit Question Book Here",,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.,For Pen Drive Mode Internet Required Only at the Time of Activation / For Google Drive Mode Internet Required For Downloading Lecture / For Android Or Live Mode Internet All Time Required While Watching Lecture","Rs. 4,499.00",4.53,"Sep 2024,(Updated with amendments),| April 2025","Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",30,Laptop / Mobile,English,"Mobile -,8585913362,Email at support@zeroinfy.in","1.7 times,on duration every lecture with unlimited clicks,Speed upto 2x,Extension of views not possible",https://zeroinfy.in/collections/all/products/ca-final-audit-fast-track-by-ca-shubham-keswani,"9 months,from the date of activation,Validity Extension On Chargeable Basis",Hindi-English Mix
"is a dynamic & qualified Chartered Accountant. As a brilliant student and position holder at the Graduation & Post Graduation level, he has 12 years of teaching experience in the field of Indirect Taxation. He is a favorite amongst CA Student for the astute & insightful academic inputs provided by him and for his pleasing & endearing personality and lucid art of teaching.",If Any Will Be Uploaded On Youtube,Zeroinfy Combo Lectures,,CA Inter Taxation (DT IDT) Full Course By CA Bhanwar Borana and CA Rajkumar,"Live Batch with Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",,,"Rs. 14,239.00","E-Mail, WhatsApp","DT:,150-160 Hours,approx (60 - 65 Lectures),IDT:,120 Hours,approx (45 lectures)",,//zeroinfy.in/cdn/shop/products/CAInterNewSchemeTaxation_DTIDT_FullCourseByCABhanwarBoranaandCARajkumar_1024x1024.jpg?v=1735884501,"Video Lectures + Study Materials,Study Kit Contains -,DT Aug 2024 Batch,-,2 Books (One,Compact Theory Book | One Compact Q&A Book,),|,DT,March 2025 Batch,-,1 Compact Theory Book | 1 Compact Q&A Book & MCQ (Virtual),||,IDT,:,2 Main Books, 1 Quiz Book, 1 Compiler",,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 12,815.00",4.67,"DT Aug 2024 / March 2025,(1st March 25 to 10th May 25 | 10:30 AM to 1:45 PM),IDT Nov 2024 / March 2025,(10th March 25 | 5:30 PM to 8:30 PM)","Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",24,Laptop / Mobile,English,"Mobile - 9718972218,Email at support@zeroinfy.in","1.5 times,on duration of every lecture (3 hrs lecture can be watched for 4.5 Hrs),Speed Up 2x FF,Views Can Not Be Increased,Views Extension Not Possible",https://zeroinfy.in/collections/all/products/ca-inter-dt-idt-combo-lectures-by-ca-bhanwar-borana-and-ca-rajkumar,"DT:,12 months,from the date of activation,IDT:,12 months,from the date of activation,(Validity Extension On Chargeable Basis)",Hindi-English Mix
"is a Fellow Member of ICAI. He is also a Qualified Company Secretary and a Commerce Graduate. He is a Renowned National Level Author & Faculty of Indirect Tax Laws (IDT) for CA, CS & CMA Final students and Professionals. He is famous for coverage of the entire syllabus of IDT in just around 100 hours in a Conceptual manner with a Practical Approach.",If Any Will be Uploaded on Youtube,Yashvant Mangal Classes,,CA Final Indirect Tax (IDT) Fast Track By CA Yashvant Mangal,"Google Drive without Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/playlist?list=PL7x7lxx63odhMpRD7hMy5yGBShf0xp5yd,,"Rs. 6,150.00",Email at ymc.query@gmail.com,"75 Hours,(Approx 85 Lectures) (Including Questions discussion Lectures from Main book & Questionnaire)",,//zeroinfy.in/cdn/shop/files/CAFinalIndirectTax_IDT_FastTrackByCAYashvantMangal_1024x1024.jpg?v=1736170129,"Video Lectures + Study Materials,Study Kit Contains -,Colorful 2 Volumes of Conceptual Learning Book, 2 Volumes of Questionnaire & MCQ book, Colorful Summary Book & Colorful RamBan Chartbook",,"Without Test Series,With Test Series",,,"Rs. 5,650.00",4.62,"Latest,(With New Amended Recording)","Laptop,: Windows 10 and & Above | 4GB RAM & 30% Free space on C Drive,Mobile,: Android Version 7 or Above | 4 GB RAM | (Motorola Mobile/Tablet or Rooted devices are not supported) |",13,Laptop / Mobile,English,"Mobile-7737976730,Email at support@zeroinfy.in","1.5 views,on duration,Speed Up to 3x FF,Views Extension Not Possible",https://zeroinfy.in/collections/all/products/ca-final-indirect-tax-formula-50-fast-track-by-yashvant-mangal,"5 months,from the date of activation,Validity Extension On Chargeable Basis",Hindi-English Mix
CA Final SFM Full Course Video Lectures By Prof Sanjay Saraf,Will be Uploaded on Youtube,Prof Sanjay Saraf,,CA Final Advanced Financial Management (AFM) Full Course By Prof Sanjay Saraf,Online with Hard Copy,https://www.youtube.com/watch?v=U6LL6qZFP2w,,"Rs. 12,000.00","Doubt Solving on Qforum,: Get 100% doubt resolution on our dedicated query resolution platform, Qforum.,Active Participation,: As a candidate, you are encouraged not only to post your queries but also actively reply to queries from others.,Mutual Learning,: Actively participating in discussions helps answer queries of others and reinforces your own understanding of concepts.","June 2024 Recording -,Approx,300 Hours,(,Main Lectures 100 Classes,of 2 Hours each +,Home Work Q Solving Lectures 100 Classes,of 1 Hour each),April 2025,Recording -,Approx,220 Hours",,//zeroinfy.in/cdn/shop/files/CAFinalAdvancedFinancialManagement_AFM_FullCourseByProfSanjaySaraf_1024x1024.jpg?v=1739801323,"Video Lectures + Study Materials,Study Kit Contains -,3 Books,[Book 1 (Vol-1&3), Book 2 (Vol - 2&4), Book 3 (Vol - 5, 6&7), Virtual Revision Book]",,,,,"Rs. 10,800.00",4.34,June 2024 / April 2025,"Laptop,: Windows 8.1 & above -4GB RAM -Graphics Card Integrated or Dedicated -AMD Ryzen supported - Bluetooth headphones allowed for mobile, tablet, or laptop.,Mobile / Tab,: Android 7.0 & beyond Mobile & Tablet supported,Bluetooth headphone allowed for mobile, tablet or laptop,Internet Connection",29,Laptop / Mobile / Tab (Video Lessons Would Only Run On Ulurn App: Play On Windows Laptop & Android (Ios/mac/desktop Not Supported)),English,Email - support@zeroinfy.in,"1.5 times,on duration with unlimited clicks (Upto 2xFF) (Extension Not Possible)",https://zeroinfy.in/collections/all/products/ca-final-new-sfm-afm-full-course-video-lectures-by-prof-sanjay-saraf,"June 2024 Recording -,18,months,from the issuance of the download link and serial key.,April 2025 Recording -,24,months,from the issuance of the download link and serial key.",Hindi-English Mix
Lectures and Books received. Books are in perfect condition. Amazing teaching by CA Sankalp Sir. Really enjoying the subject because of Sir.,If Any Will be Uploaded on Youtube,CA Sankalp Kanstiya,,CA Final SPOM (SCM SPM) Lectures By CA Sankalp Kanstiya,"Mobile App without Hard Copy,Google Drive without Hard Copy,Pen Drive without Hard Copy,Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=8vSd5hCorRk,,,"Whatsapp (9819201473) /,Call",100 Hours,,//zeroinfy.in/cdn/shop/files/CAFinalSPOM_SCMSPM_LecturesByCASankalpKanstiya_1024x1024.jpg?v=1736142723,"Video Lectures + Study Materials,Study Kit Contains -,Volume 1 Theory, Volume 2 MCQ, Volume 3 Practical Book",,,,,"Rs. 3,999.00",4.70,May 2024,,23,Laptop / Mobile / Tab,English,"Mobile -,8080822123,Email at support@zeroinfy.in","1.7 times,on duration every lecture with unlimited clicks,Speed Upto 2x FF,Extension of views not possible",https://zeroinfy.in/collections/all/products/ca-final-spom-scm-spm-lectures-by-ca-sankalp-kanstiya,"6 months,from the date of activation,Validity Extension On Chargeable Basis",Hindi-English Mix
"CA Shubham Keswani is a Merit holder at CA Final & Inter level. He completed his 3 years of Articleship training in the field of Audit & Assurance from EY. Having secured exemption in Auditing at both levels of his CA Journey, his purpose is to enlighten you with his experience & expertise.",If Any Will be Uploaded on Youtube,CA Shubham Keswani,,CA Final Audit Full Course By CA Shubham Keswani,"Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy,Live Batch with Hard Copy",https://www.youtube.com/playlist?list=PL7x7lxx63odi5U3JvOiHYhU9MoZsc1JvL,"https://www.youtube.com/watch?v=1vELXuPLL_k,https://www.youtube.com/watch?v=_e5lT8C4gVc,https://www.youtube.com/watch?v=_e5lT8C4gVc,https://youtube.com/shorts/fztu_agOAFk?si=tTY4cja6Tgvtlvyi","Rs. 10,499.00",Send your query on 9315210818 (Telegram),"150 hours,(Approx 60 lectures)",,//zeroinfy.in/cdn/shop/files/CAFinalNewSchemeAuditFullCourseByCAShubhamKeswani_1024x1024.jpg?v=1735813094,"Video Lectures + Study Materials,Study Kit Contains -,1 Coloured Notes & 1 Question Bank + 1 MCQ,See Sample Audit Note Book Here,See Sample Audit Question Book Here,See Sample Audit MCQ Book Here",Mobile App | Google Drive | Pen Drive,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 7,999.00",5.00,October 2024 / March 2025,"Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",3,Laptop / Mobile,English,"Mobile -,8585913362,Email at support@zeroinfy.in","1.7 times,on duration every lecture with unlimited clicks,Speed upto 2x,Extension of views not possible",https://zeroinfy.in/collections/all/products/ca-final-new-scheme-audit-full-course-classes-by-ca-shubham-keswani,"24 months,from the date of activation,Validity Extension On Chargeable Basis",Hindi-English Mix
CA Final Costing (SCMPE) Fast Track By Sankalp Kanstiya In English,If Any Will be Uploaded on Youtube,CA Sankalp Kanstiya,,CA Final SPOM (SCM SPM) Lectures In English By CA Sankalp Kanstiya,"Mobile App without Hard Copy,Google Drive without Hard Copy,Pen Drive without Hard Copy,Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=8vSd5hCorRk,,,"Whatsapp (9819201473) /,Call",100 Hours,,//zeroinfy.in/cdn/shop/files/CAFinalSPOM_SCMSPM_LecturesInEnglishByCASankalpKanstiya_1024x1024.jpg?v=1736142725,"Video Lectures + Study Materials,Study Kit Contains -,Volume 1 Theory, Volume 2 MCQ, Volume 3 Practical Book",,,,,"Rs. 3,999.00",4.80,May 2024,,15,Laptop / Mobile / Tab,English,"Mobile -,8080822123,Email at support@zeroinfy.in","1.7 times,on duration every lecture with unlimited clicks,Speed Upto 2x FF,Extension of views not possible",https://zeroinfy.in/collections/all/products/ca-final-spom-scm-spm-lectures-in-english-ca-sankalp-kanstiya,"6 months,from the date of activation,Validity Extension On Chargeable Basis",English
cleared his CA Final with an All India Rank-4 and has done his Articleship from Deloitte Haskins and Sells in the Stat. Audit Department. His Amazing Journey from Science in 12th Standard to Rank in CA Final has inspired many people to do what they thought was impossible.,,CA Shubham Singhal,,CA Inter Law Regular in Depth Batch By CA Shubham Singhal,"Live Batch with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=KatiX1q6ov4,"https://youtube.com/shorts/dKze2vBkjxc?feature=share,https://youtube.com/shorts/kudWq6lm2jg?feature=share","Rs. 11,499.00","Private doubt-solving telegram group,(Link will be sent via email once you purchase the classes)","160 Hours,(65 lectures with 100% coverage | MCQs discussion included)",,//zeroinfy.in/cdn/shop/files/CAInterLawRegularLecturesByCAShubhamSinghal_f2760ba7-759f-4d97-be27-19b45a8a5b68_1024x1024.jpg?v=1738223902,"Video Lectures + Study Materials,Study Kit Contains -,Concept Book,|,Question Bank,|,MCQ Booklet",,Single Buy Rs. 1000 + 2000 Discount Limited Time Offer,,,"Rs. 8,999.00",5.00,"Nov 2024 to Feb 2025,March 2025,(11th March to 15th June | 11:15 AM to 1:45 PM | Books Dispatch: Begin from 20th Feb 2025)","Laptop,: Minimum processor Pentium D | Minimum RAM 2 GB | Windows 8.1 and above, Windows 10 and Windows 11,MAC System and Desktop (PC) doesn’t support,| Windows 64-bit Only,Mobile,: Minimum RAM 3GB (Recommended 4GB) | Minimum Android Version 8.0 & above | IOS (Apple) not supported | Phone should have good performance,For Pen Drive Mode Internet Required Only at the Time of Activation / For Google Drive Mode Internet Required For Downloading Lecture / For Live Mode Internet All Time Required While Watching Lecture",4,Laptop / Mobile,English,Email: ithelp@vsmartacademy.com,,https://zeroinfy.in/collections/all/products/ca-inter-new-scheme-law-regular-by-ca-shubham-singhal,Unlimited Validity,Hindi-English Mix
♦ For Regular Batch By CA Sarthak Jain Sir -,"If Any Will be Uploaded On Youtube,For Pen Drive Mode Internet Required Only at the Time of Activation / For Google Drive Mode Internet Required For Downloading Lecture / For Android Or Live Mode Internet All Time Required While Watching Lecture",Fast Education,,CA Final FR Exam Oriented Faster Batch By CA Sarthak Jain,"Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=ZQIPoCZKB_0&list=PLWCpnwrRaeabuV5RbboYsmzP-3PpkdCmi,,"Rs. 6,500.00",WhatsApp,"135 Hours,approx (45-48 lectures)",,//zeroinfy.in/cdn/shop/files/CAFinalNewSchemeFRFasterBatchByCASarthakJain_a8c95e56-3fe5-4dac-9e59-cecf39f7d443_1024x1024.jpg?v=1735194900,"Video Lectures + Study Materials,Study Kit Contains -,Full Course Brahmastra (Coloured concept books) + FR Striker QA Book (with Audio/Video PoD solution of Que) + MCQ Book",,,,,"Rs. 4,900.00",4.33,Nov 2024,"Laptop: Windows 10 or Higher | 4 GB RAM & Above,Mobile: Android 7.0 & Above | 3 GB RAM & Above | Except MOTOROLA Devices",12,,English,"Mobile -,9584510000 / 9522564050,Email at,support@zeroinfy.in","1.7 times,on duration with unlimited clicks,EXTENSION Not Possible",https://zeroinfy.in/collections/all/products/ca-final-new-financial-reporting-fr-faster-by-ca-sarthak-jain,"12 months,from the date of activation,EXTENSION On Chargeable Basis",Hindi-English Mix
"CA Final Audit Exam Oriented Video Lectures In English By CA Sarthak Jain for May 25 and Nov 25 Students in 60 hours, 12 months validity and 1.7 times view. Google Drive, Mobile App, Pendrive Video Lectures available. Audit Question Bank, Drone Chart, MCQ will be provided with the same.",Will Be Uploaded On Youtube If Any,Fast Education,,CA Final Audit Exam Oriented Video Lectures In English By CA Sarthak Jain,"Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive With Hard Copy",https://www.youtube.com/watch?v=f9l2YhcYtk0,,,WhatsApp,60 Hours approx (25 lectures),,//zeroinfy.in/cdn/shop/files/CAFinalAuditExamOrientedVideoLecturesInEnglishByCASarthakJain_1024x1024.jpg?v=1735194898,"Video Lectures + Study Materials (Audit QB, Audit Drone Charts , MCQ Book)",Mobile App | Google Drive | Pen Drive,,,,"Rs. 4,500.00",4.36,Aug 2024,"Laptop: Windows 10 or higher | 4 GB RAM & Above,Mobile: Android 7.0 & Above | 3 GB RAM & Above | Except MOTOROLA Devices,For Pen Drive Mode Internet Required Only at the Time of Activation / For Google Drive Mode Internet Required For Downloading Lecture / For Android Or Live Mode Internet All Time Required While Watching Lecture",14,,English,"Mobile -,9584510000 / 9522564050,Email at,support@zeroinfy.in","1.7 times on duration with unlimited clicks,Extension Of Views Not Available,Upto 2x FF",https://zeroinfy.in/collections/all/products/ca-final-audit-exam-oriented-lectures-in-english-by-ca-sarthak-jain,"12 months from the date of activation,Validity Extension On Chargeable Basis",English
"He is known as ""IDT Guru"" due to his tremendous popularity amongst CA, CS, CMA Students. He is one of the prominent faculty for IDT and is the founder of VSmart Academy.",,Vsmart Academy,"Laptop:,Windows,8, 8.1 & 10 |,Intel Core 3, 2.0 GHz |,4GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Andriod version 6 & above (Motorola Mobile/Tablet or Rooted,Not,Supported)",CA Inter GST Exam Oriented Batch By CA Vishal Bhattad,"Google Drive with Hard Copy,Pen Drive with Hard Copy",,https://www.youtube.com/watch?v=F9vIo8SjRiE,"Rs. 5,499.00","Vsmart QnA App,provided with course purchase","75-80 Hours,(Total Approx 20-25 Lectures)",,//zeroinfy.in/cdn/shop/files/CAInterGSTExamOrientedByCAVishalBhattad_1024x1024.jpg?v=1738223271,"Video Lectures + Study Materials,Study Kit Contains -,1 GST Compact Book,|,1 Questionnaire,|,GST Chart Book",,"Jan 26,Sep 25,May 25",,,"Rs. 4,499.00",3.67,Jan 2025,,3,Laptop / Mobile / Tablet,,"Mobile-7796868686,Email at support@zeroinfy.in","1.5 times,Playback Time for every video,Speed Upto 2x FF,Views Extension Not Possible",https://zeroinfy.in/collections/all/products/ca-inter-gst-exam-oriented-full-course-by-vishal-bhattad,Unlimited Validity,Hindi-English Mix
,If Any Will be Uploaded on Youtube,Parveen Jindal Classes,"Laptop,- Windows versions 8, 8.1, and Win 10. WINDOW 11 | Minimum Ram Is Required- 4GB,Mobile -,Android 7.0 & Above with Minimum 4 GB RAM | Motorola Devices Not Supported,DO NOT SUPPORT,Windows XP, Windows Vista, Windows 7 Starter, Windows 7 Home Basic, Windows 7 N Edition, Windows 7 KN Edition, APPLE MAC BOOK, Motorola Devices. PROJECTOR AND DISPLAY SHOULD NOT BE MORE THEN 21 INCHES IN SIZE.",CA Inter Advanced Accounts Full Course By CA Parveen Jindal,"Google Drive with Hard Copy,Pen Drive with Hard Copy",,,,CA Parveen Jindal Sir’s Whatsapp Number will be provided,"330 Hours,(194 lectures approx)",,//zeroinfy.in/cdn/shop/files/CAInterAdvancedAccountsFullCourseByCAParveenJindal_519f04ca-1b31-449d-ad4f-f72b5f99ad46_1024x1024.jpg?v=1737986118,"Video Lectures and Study Materials,Study Kit Contains,-,3 Modules, Handwritten Virtual Note",,"Jan 26,Sep 25,May 25",,The Course Is Non-Refundable,"Rs. 12,069.00",4.71,October 2024,,7,,,"Mobile- 8929098481,Email us at support@zeroinfy.in","1.5 / 2 times,on the duration with unlimited clicks,You can pause, forward and rewind the class.,Speed Option is Available,Only Playing Time (Actual Time) Will Be Added Into Consumption",https://zeroinfy.in/collections/all/products/ca-inter-advanced-accounts-new-syllabus-full-course-by-ca-parveen-jindal,"3 Years,from the date of Activation,Extension Not Allowed",Hindi-English Mix
♦ For FR Regular In English By CA Sarthak Jain Sir -,Will Be Uploaded On YouTube If Any,Fast Education,,CA Final Financial Reporting (FR) Regular Batch By CA Sarthak Jain,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=O4-9un9PoGM,,"Rs. 12,900.00",WhatsApp,"270 Hours,approx (Approx 90 lectures,)",,//zeroinfy.in/cdn/shop/files/CAFinalNewSchemeFinancialReporting_FR_RegularBatchByCASarthakJain_ee46dad6-abfd-444e-b68a-7d7260522abc_1024x1024.jpg?v=1735194903,"Video Lectures + Study Materials,Study Kit Contains -,Full Course Brahmastra (coloured concept book) + QA Striker (with Audio/Video PoD solution of Que) + MCQ Book",Google Drive | Pen Drive,,,,"Rs. 9,900.00",4.72,Previous / Jan 2025,"Laptop - Windows 10 or Higher | 4 GB RAM & Above (It will not run on the Desktop or PC or IOS devices),Mobile - Android 7.0 & Above | Motorola Not Supported",25,,English,"Mobile -,9584510000 / 9522564050,Email at,support@zeroinfy.in","1.7 times,on duration with unlimited clicks,Extension Of Views Not Available,Upto 2x FF Available",https://zeroinfy.in/collections/all/products/ca-final-financial-reporting-fr-regular-running-batch-by-ca-sarthak-jain,"24 months,from the date of activation,Validity Extension Available On A Chargeable Basis",Hindi-English Mix
